t,W
" 0.000000e+00"," 0.000000e+00"
" 3.335641e-14"," 9.278894e+11"
" 6.671282e-14"," 1.845692e+12"
" 1.000692e-13"," 2.753602e+12"
" 1.334256e-13"," 3.651813e+12"
" 1.667820e-13"," 4.540519e+12"
" 2.001385e-13"," 5.419915e+12"
" 2.334949e-13"," 6.290195e+12"
" 2.668513e-13"," 7.151553e+12"
" 3.002077e-13"," 8.004183e+12"
" 3.335641e-13"," 8.848280e+12"
" 3.669205e-13"," 9.684037e+12"
" 4.002769e-13"," 1.051165e+13"
" 4.336333e-13"," 1.133131e+13"
" 4.669897e-13"," 1.214321e+13"
" 5.003461e-13"," 1.294755e+13"
" 5.337026e-13"," 1.374453e+13"
" 5.670590e-13"," 1.453432e+13"
" 6.004154e-13"," 1.531714e+13"
" 6.337718e-13"," 1.609317e+13"
" 6.671282e-13"," 1.686261e+13"
" 7.004846e-13"," 1.762565e+13"
" 7.338410e-13"," 1.838249e+13"
" 7.671974e-13"," 1.913332e+13"
" 8.005538e-13"," 1.987833e+13"
" 8.339102e-13"," 2.061772e+13"
" 8.672666e-13"," 2.135169e+13"
" 9.006231e-13"," 2.208042e+13"
" 9.339795e-13"," 2.280411e+13"
" 9.673359e-13"," 2.352296e+13"
" 1.000692e-12"," 2.423716e+13"
" 1.034049e-12"," 2.494687e+13"
" 1.067405e-12"," 2.565216e+13"
" 1.100762e-12"," 2.635305e+13"
" 1.134118e-12"," 2.704957e+13"
" 1.167474e-12"," 2.774174e+13"
" 1.200831e-12"," 2.842961e+13"
" 1.234187e-12"," 2.911319e+13"
" 1.267544e-12"," 2.979252e+13"
" 1.300900e-12"," 3.046762e+13"
" 1.334256e-12"," 3.113852e+13"
" 1.367613e-12"," 3.180526e+13"
" 1.400969e-12"," 3.246786e+13"
" 1.434326e-12"," 3.312634e+13"
" 1.467682e-12"," 3.378075e+13"
" 1.501038e-12"," 3.443110e+13"
" 1.534395e-12"," 3.507743e+13"
" 1.567751e-12"," 3.571977e+13"
" 1.601108e-12"," 3.635816e+13"
" 1.634464e-12"," 3.699263e+13"
" 1.667820e-12"," 3.762323e+13"
" 1.701177e-12"," 3.824998e+13"
" 1.734533e-12"," 3.887292e+13"
" 1.767890e-12"," 3.949210e+13"
" 1.801246e-12"," 4.010754e+13"
" 1.834603e-12"," 4.071928e+13"
" 1.867959e-12"," 4.132736e+13"
" 1.901315e-12"," 4.193182e+13"
" 1.934672e-12"," 4.253268e+13"
" 1.968028e-12"," 4.312999e+13"
" 2.001385e-12"," 4.372379e+13"
" 2.034741e-12"," 4.431410e+13"
" 2.068097e-12"," 4.490096e+13"
" 2.101454e-12"," 4.548437e+13"
" 2.134810e-12"," 4.606437e+13"
" 2.168167e-12"," 4.664097e+13"
" 2.201523e-12"," 4.721420e+13"
" 2.234879e-12"," 4.778407e+13"
" 2.268236e-12"," 4.835061e+13"
" 2.301592e-12"," 4.891385e+13"
" 2.334949e-12"," 4.947379e+13"
" 2.368305e-12"," 5.003046e+13"
" 2.401661e-12"," 5.058388e+13"
" 2.435018e-12"," 5.113408e+13"
" 2.468374e-12"," 5.168108e+13"
" 2.501731e-12"," 5.222489e+13"
" 2.535087e-12"," 5.276554e+13"
" 2.568444e-12"," 5.330304e+13"
" 2.601800e-12"," 5.383741e+13"
" 2.635156e-12"," 5.436866e+13"
" 2.668513e-12"," 5.489681e+13"
" 2.701869e-12"," 5.542187e+13"
" 2.735226e-12"," 5.594387e+13"
" 2.768582e-12"," 5.646281e+13"
" 2.801938e-12"," 5.697871e+13"
" 2.835295e-12"," 5.749159e+13"
" 2.868651e-12"," 5.800146e+13"
" 2.902008e-12"," 5.850834e+13"
" 2.935364e-12"," 5.901224e+13"
" 2.968720e-12"," 5.951318e+13"
" 3.002077e-12"," 6.001117e+13"
" 3.035433e-12"," 6.050623e+13"
" 3.068790e-12"," 6.099837e+13"
" 3.102146e-12"," 6.148761e+13"
" 3.135502e-12"," 6.197396e+13"
